Countries,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Denmark,28796,48,58,659,89,6740,774,608,11,41,1771,542,148,65,679,112,67,56,113,76,138,415,1400,505,410,74,149,49,65,459,146,1174,42,2100,759,85,499,71,693,815,184,298,22,240,1912,496,34,730,1759,47,339,30
Ireland,121499,228,67,1410,253,15973,1471,3122,332,570,9268,1466,254,115,6883,842,141,176,744,447,312,1928,14052,1187,787,203,521,114,175,593,793,8072,287,27106,2001,9,1505,184,1692,4473,590,944,3,723,3707,268,259,2049,2504,29,568,99
Norway,22052,102,162,431,81,3699,473,400,23,111,2113,283,88,173,627,125,213,59,67,178,74,506,467,261,503,37,109,67,37,147,129,810,91,2031,399,70,246,71,866,675,109,152,20,12,1921,358,11,431,1694,9,313,18
Sweden,47489,167,179,1080,81,12343,1029,941,24,336,4316,843,269,106,1273,122,269,74,233,211,105,795,1718,788,532,22,282,27,44,425,331,1002,114,4083,1613,14,383,123,838,1150,117,778,31,488,2921,592,114,1308,2227,24,572,32
United Kingdom,709840,4319,885,18167,2951,128737,13776,14797,1974,2844,77986,20069,1993,2372,19252,5963,2050,3262,3670,2815,2972,12898,25998,14224,5719,1850,5695,1461,1407,7679,3953,26254,3184,64243,21125,381,13046,3400,12380,21561,2618,9593,629,8428,53822,5523,1805,20045,21969,1350,5795,951
Austria,40445,306,24,1064,81,6851,806,718,52,108,3979,840,132,322,2593,291,104,34,198,149,207,664,896,1088,361,121,398,68,42,483,294,2005,203,5000,721,71,1515,205,662,1144,77,501,12,459,1104,227,135,1494,657,50,884,45
Belgium,35017,138,24,520,48,6123,993,691,86,380,3837,964,184,78,918,142,49,115,172,342,180,1078,1260,707,254,53,281,77,40,319,56,1257,82,5268,972,5,485,86,515,648,91,380,4,238,2128,262,57,1153,879,46,337,15
France,184856,1121,275,3286,471,39974,2676,3214,220,1748,19333,3885,945,292,5730,1272,223,529,900,963,508,4352,7613,2922,1669,285,1547,225,260,1960,618,7328,653,25567,2979,333,3101,528,2700,4508,691,1827,90,1248,11389,894,400,5324,5184,217,767,112
Germany,543920,6624,1368,13979,2770,73893,13918,7041,1467,1579,52926,18083,2871,2540,19151,6571,2582,3404,5425,3379,2173,10714,12688,17015,6851,2008,7509,2067,2185,6429,2736,16955,3971,40273,15366,490,13726,5509,8129,18011,1292,9472,624,8162,36960,4775,1073,18840,17783,1421,8505,637
Netherlands,84052,289,221,2763,214,18097,1541,1138,419,243,8286,1981,317,446,2144,533,494,308,351,483,430,1495,2156,3868,894,249,484,358,131,955,538,2454,416,5188,1338,20,1939,222,2081,1935,413,676,120,633,5877,1734,250,2200,3400,120,1125,85
Switzerland,37295,35,113,817,42,9198,1454,472,69,181,3205,539,372,167,766,192,76,58,134,78,154,785,1560,459,409,23,285,163,36,416,347,1517,189,4527,660,10,445,58,802,876,162,313,35,214,1799,447,116,814,1229,13,359,105
Greece,121928,249,9,1163,65,10026,666,3935,514,239,9605,1225,70,151,10576,1382,218,85,205,343,246,2924,10315,2692,454,221,579,10,241,741,790,8313,482,29724,2442,76,2770,127,685,5696,581,1138,12,767,3566,498,139,3118,915,105,817,18
Italy,321494,486,180,4392,247,31765,1913,15645,960,940,30483,2855,527,457,15387,1308,326,313,576,882,354,4648,17379,7672,1099,185,1864,148,292,1710,814,35079,574,86021,4516,50,7308,448,1373,17223,2327,1262,24,1369,7626,555,234,4757,2326,565,1963,87
Portugal,171499,616,38,445,33,25917,298,8994,116,119,9287,637,186,212,405,169,44,78,101,52,277,1589,51203,302,105,22,123,8,14,691,1074,29542,90,11111,874,0,353,320,195,3384,16536,799,0,250,1918,124,32,1823,749,78,107,59
Spain,120292,397,68,1765,248,16738,1792,2237,175,1564,21619,1984,464,536,3141,1522,427,471,489,620,436,2626,5016,1558,889,211,750,177,351,506,252,10120,752,14114,1906,100,1562,383,662,2602,449,1073,94,573,8905,1275,109,3257,2062,219,984,62
Albania,101356,26,11,1648,9,1633,102,5475,51,250,9491,185,3,104,5995,144,31,63,235,19,90,630,12249,12356,248,11,1155,3,35,274,577,5234,33,26905,637,0,2024,122,118,6127,431,364,6,353,2726,208,44,1345,469,25,1043,39
Belarus,70143,93,48,463,89,10325,1204,927,47,183,3454,845,82,83,6150,82,142,126,346,43,29,1205,2927,465,1490,37,827,222,260,197,36,4695,13,17957,1031,17,931,76,757,4182,170,670,115,143,1101,283,43,1093,3859,103,477,0
Bosnia and Herzegovina,107368,84,44,3695,7,4695,1431,2789,2,13,8878,4189,103,732,10701,1389,5758,110,3073,245,110,468,1875,6227,2571,31,9018,0,621,967,883,1070,49,9335,2197,332,3361,86,627,3465,80,380,156,968,4852,1848,972,2293,3504,7,1071,6
Bulgaria,74181,163,69,1770,68,10105,1078,1010,318,405,6144,1783,493,288,14254,856,305,314,388,401,380,1662,2836,1327,541,91,1205,96,41,1938,160,3038,86,5590,930,20,1139,207,700,2132,178,555,0,461,2233,290,34,2403,2932,10,721,33
Croatia,38451,233,9,1150,10,4584,428,440,50,73,3888,678,120,90,3825,993,379,69,311,151,25,251,733,767,291,4,621,9,49,659,341,2722,6,7059,507,154,2066,61,328,683,34,46,149,284,1016,345,53,399,437,17,838,16
Czechoslovakia,66081,219,103,1266,211,8885,1870,1251,90,237,8169,2036,247,151,5193,330,154,244,214,148,407,1346,1898,1228,464,104,407,127,73,740,152,4020,274,9244,1407,26,1874,167,1183,2077,63,475,16,626,1849,596,109,1294,1761,106,924,26
Hungary,65582,158,24,1588,60,11231,1104,1730,256,133,9289,783,85,154,1585,624,100,212,173,208,167,1104,2020,913,483,56,564,180,108,1618,362,4504,84,8888,1402,3,2280,114,780,2277,214,552,13,595,2576,479,120,1123,1569,89,835,13
Latvia,23070,78,55,217,0,3197,458,387,123,87,1523,682,102,44,1546,334,116,73,117,57,13,534,998,982,598,15,84,32,104,245,41,1596,123,3389,407,7,574,37,154,626,60,182,7,276,534,38,3,717,991,0,507,0
Lithuania,34118,99,83,386,8,3727,544,1021,57,126,3022,579,108,36,10438,434,86,6,59,36,33,440,1092,936,231,39,71,16,91,410,69,1565,56,2830,322,55,829,17,418,832,62,119,16,91,611,59,36,761,786,9,361,0
Moldova,52107,331,402,252,78,10551,706,441,52,12,3446,964,40,112,4296,153,107,286,89,242,18,942,2350,496,1289,13,361,219,44,246,88,1897,35,7177,1564,127,756,152,1471,1433,64,593,35,685,887,281,177,1057,4910,38,142,0
North Macedonia (Macedonia),27747,0,105,122,12,745,175,1187,7,12,886,99,20,102,4143,1004,150,26,67,88,9,116,114,4102,52,0,142,0,41,200,63,4814,0,4696,115,15,1503,0,208,456,114,155,0,82,552,14,36,337,168,0,693,0
Poland,419099,228,269,5068,473,21395,4548,23016,625,783,24619,3122,369,320,127757,2870,457,208,586,181,720,3660,11903,11481,2081,207,1448,213,526,2436,775,48969,343,68651,3681,53,4892,523,1391,11768,1058,1899,72,1520,7354,876,314,4055,4667,73,4492,104
Romania,166674,501,169,6008,293,22578,1480,2236,220,305,14849,6466,238,567,15467,1321,329,643,280,903,258,2388,2992,9301,939,93,1063,217,229,2837,774,6214,242,21003,2998,211,6366,345,4231,5225,534,1270,98,1756,7302,657,141,2832,7617,116,1357,215
Russia,407564,1178,768,3808,376,69953,7517,5708,787,1071,31310,6938,763,783,17459,3528,1365,1180,1848,1285,530,9668,17585,6314,6299,501,3634,388,617,2441,1402,20586,537,79742,7205,327,8730,1270,5655,15070,1226,3681,259,2586,15967,1420,508,9808,21295,292,3992,404
Serbia,40543,0,131,1128,44,4350,269,756,104,364,3609,481,106,88,7901,619,74,69,250,0,20,770,1240,1211,262,8,364,0,81,863,117,1934,216,5020,338,45,1568,111,246,930,61,101,19,128,2145,107,14,923,540,7,788,23
Ukraine,373476,751,738,2174,190,59017,3801,4891,215,548,20356,3928,349,1446,28346,2320,662,965,1436,641,264,6232,10922,6338,4501,170,2925,515,1040,1798,812,21755,436,77987,5898,96,10044,919,8703,19431,836,3750,1331,2484,7309,633,196,4603,36301,88,1969,416
China,2197387,8314,1473,21755,3568,678842,17976,23326,5736,3676,54979,36628,19205,2549,73430,20573,8950,8598,8201,6603,2536,44639,103528,34633,17836,3138,17470,1052,4412,18884,4067,78825,3365,409860,27351,904,36486,7434,21833,66590,5049,9058,1099,13606,111389,7034,1671,42061,79714,1514,15210,757
Hong Kong,240192,438,77,2536,94,105695,1004,1166,769,370,4809,2001,4310,257,5451,884,254,400,340,261,53,4195,8599,1573,1235,41,927,192,149,2616,333,10666,122,43388,2042,31,2135,240,2573,3370,509,732,26,447,8869,1249,107,3250,8726,37,620,24
Taiwan,377844,1329,188,4574,462,178582,2861,2335,721,292,7531,5678,2688,319,7766,1886,426,1479,722,728,310,8890,8749,5054,2126,395,2620,185,598,4688,591,14821,634,30267,3528,113,3884,970,3114,6324,527,1248,21,1914,28711,1297,326,7643,16045,209,1422,53
Japan,345530,2292,851,5125,679,104573,4412,2584,485,885,11759,7471,22550,953,10904,5217,981,1537,2875,1654,438,5266,7542,10426,2523,567,1746,407,1279,5227,611,9726,1085,27898,6007,513,8218,1551,6509,4608,685,2000,384,3570,17850,1861,205,8792,17447,778,1869,155
Korea,1035281,10123,3528,10489,1911,314155,15225,7696,1752,1963,20537,44043,17657,1408,40910,7705,5072,3700,3764,1887,987,33210,18112,20822,12367,975,6834,592,2508,11243,2017,70534,1844,83124,16065,718,11306,4281,12134,26934,1200,4574,1001,7506,57435,4035,570,54263,47693,772,5689,411
Afghanistan,118496,95,11,1820,24,49224,1361,1208,207,85,1156,1820,12,315,850,259,304,228,452,109,507,3487,590,889,330,59,638,0,792,698,65,1744,193,8776,876,342,731,96,761,1349,0,173,117,432,10593,664,2,18296,5621,0,135,0
Bangladesh,259597,675,29,2355,562,16440,1073,3679,912,377,11665,8589,95,15,2279,1587,606,842,356,1336,134,6019,4665,17190,1075,17,1047,2,119,967,83,13843,229,114714,2174,157,1875,1026,797,8652,79,473,20,690,15891,163,37,11701,1312,181,700,93
India,2681209,9437,577,43334,8993,523659,21181,41389,11410,3066,91543,101033,1442,2358,162991,31649,11054,13677,13206,7113,1225,62361,81624,77458,31259,4311,22338,243,6208,9812,7866,275278,2900,158855,77793,1505,67340,10223,19542,98355,6803,16503,1229,23599,290351,8348,1368,94434,94167,2548,25925,326
Iran,391865,975,382,5641,526,208033,3302,1756,387,1427,10077,6536,458,763,6578,1655,420,1479,1289,1217,304,11796,7069,4002,1897,431,1523,146,348,4471,372,4677,1150,17849,4002,328,3260,1962,4549,4137,211,1236,53,3137,31290,2127,180,14390,10422,250,1211,184
Kazakhstan,33918,250,49,313,0,5560,470,301,78,184,3027,361,53,42,1771,222,69,96,155,131,80,670,993,574,668,8,161,50,77,260,69,1142,72,5749,857,11,643,151,1047,1138,71,374,0,172,1947,157,55,943,2389,42,216,0
Nepal,153937,934,354,1463,161,15314,5348,749,103,285,1702,3461,228,931,2900,585,1169,1405,2235,1210,129,9027,6357,2452,2705,484,1323,79,1795,551,2113,2271,499,16178,3954,1174,9568,745,897,6649,60,346,970,1972,25002,1297,971,9489,2764,291,1204,84
Pakistan,386353,1777,226,2534,1056,49231,2017,5979,928,353,13101,11002,116,186,29463,3026,1335,1277,1204,2563,208,17454,7206,10231,3142,424,2964,78,422,1428,275,27146,435,61968,5631,183,4632,1815,918,10383,552,1306,159,2243,61112,1913,125,25921,5593,367,2710,35
Sri Lanka,54882,76,43,626,127,11501,424,1026,141,24,2368,1203,281,27,1066,796,521,402,203,135,4,3581,1905,1103,735,6,205,158,124,712,173,3146,157,7460,1119,84,1431,141,810,1135,95,107,0,356,5081,125,56,2421,968,115,301,78
Uzbekistan,69395,97,22,646,14,6804,705,288,0,58,2021,1692,31,55,1988,130,26,80,812,0,5,1048,670,831,189,0,187,0,81,198,117,2113,102,32766,694,18,3381,108,919,4032,152,192,16,1011,1507,87,0,830,2502,0,170,0
Burma,155955,15,28,2333,236,26767,2593,386,23,184,3679,5660,186,224,4445,16319,4386,2667,3447,526,6,4871,1654,3495,8585,21,1479,0,3600,418,197,1402,33,15234,4476,0,1532,4970,1238,1948,266,643,840,2152,13317,835,256,1963,2507,133,3747,33
Cambodia,148389,553,164,1616,293,52153,2149,1678,29,191,3645,2299,349,130,2819,825,521,637,994,574,834,1837,13584,1362,4205,138,783,12,69,903,348,758,42,3288,2604,14,2484,524,2272,8433,2140,886,162,860,9836,1572,98,4834,11309,2,565,12
Indonesia,97876,367,78,1790,528,39664,1826,726,102,211,3168,2196,716,255,1717,1222,299,530,335,577,125,2141,1970,1216,383,125,391,28,154,1291,498,2126,213,6128,1792,53,1431,572,1165,4018,172,241,42,621,7744,391,29,2022,3738,92,534,123
Laos,178195,540,1614,1260,3393,48917,2323,1723,105,0,4079,4764,1189,789,3315,723,3542,3301,431,1344,67,1221,2039,3485,25343,39,730,74,496,1595,510,345,177,2149,5588,63,2427,2503,3269,2786,2211,1071,288,4291,8803,1359,54,2646,6020,21,13173,0
Malaysia,81169,524,66,1387,48,17723,1116,660,167,111,2520,2663,1105,243,2899,2379,788,633,616,205,56,1341,1959,1172,1007,86,495,40,755,694,292,2076,104,11873,2154,28,1332,1029,854,1881,96,146,28,1105,7914,383,44,1684,3132,42,1493,21
Philippines,1986609,4769,18867,29693,3811,827803,11901,9864,3298,1678,82375,19902,117665,2430,92717,12211,4489,5430,6087,6115,1636,37190,11501,19402,9822,3757,10507,1938,2847,91562,2517,85305,6138,89483,20347,2110,17493,5308,14561,21093,2518,10823,1701,11207,100810,6677,778,51958,72831,1841,8883,960
Singapore,35722,288,13,776,118,10649,660,336,52,218,1316,885,461,402,1206,461,98,140,249,236,24,656,1098,576,154,53,54,6,19,605,16,1328,43,4094,587,15,416,36,603,666,105,103,27,82,2822,409,11,657,1669,30,194,0
Thailand,255891,1363,2488,3875,1043,66259,3856,1396,314,196,11861,4779,3031,677,7755,4914,3607,1791,2037,1253,573,3927,5260,3252,20509,732,2468,197,3092,5523,702,3039,696,13700,5643,254,3009,2336,3773,4033,860,1879,864,3149,14340,2263,250,7336,9611,118,9840,168
Vietnam,1347339,7021,773,19179,4344,512001,17523,6705,1599,1978,59668,43586,9683,1222,23248,6344,7886,10494,3456,18550,1302,18093,38369,12544,17453,4182,10723,596,5454,11489,1963,15703,4151,25535,24831,595,10828,13587,22665,31872,1177,6821,319,9117,184721,7434,326,43713,61030,865,4398,223
Armenia,95130,17,1,411,0,78091,490,122,6,150,569,143,17,9,776,45,41,9,1,0,34,329,2290,431,40,0,48,20,17,2196,75,694,22,2388,168,0,380,72,260,738,202,35,2,28,943,443,14,800,1390,0,173,0
Iraq,235111,149,6,9209,277,41969,2878,728,0,215,5312,3542,33,1249,13783,382,1504,924,2526,396,780,1532,4599,57436,2096,22,3223,57,3155,1261,473,1635,530,6448,2405,258,3334,766,2720,2336,315,1032,346,8432,27197,1793,159,8834,5217,71,1567,0
